sequence_length,num_samples,num_sites,tool,size
48129895,10,116230,bcf,1025557
48129895,10,116230,genozip,345782
48129895,10,116230,sav,1129677
48129895,10,116230,sgkit,551912
48129895,10,116230,tsk,20678852
48129895,100,204714,bcf,3659866
48129895,100,204714,genozip,956132
48129895,100,204714,sav,3176134
48129895,100,204714,sgkit,1699886
48129895,100,204714,tsk,40021956
48129895,1000,403989,bcf,37943696
48129895,1000,403989,genozip,3194418
48129895,1000,403989,sav,15171972
48129895,1000,403989,sgkit,11860511
48129895,1000,403989,tsk,84118188
48129895,10000,863998,bcf,392956564
48129895,10000,863998,genozip,14450328
48129895,10000,863998,sav,125719528
48129895,10000,863998,sgkit,127581270
48129895,10000,863998,tsk,188676700
48129895,100000,2365367,bcf,4094870613
48129895,100000,2365367,genozip,353168137
48129895,100000,2365367,sav,1506409238
48129895,100000,2365367,sgkit,1637441715
48129895,100000,2365367,tsk,547125364
48129895,1000000,7254858,bcf,55565217312
48129895,1000000,7254858,genozip,6906769408
48129895,1000000,7254858,sav,22816390476
48129895,1000000,7254858,sgkit,23737993230
48129895,1000000,7254858,tsk,1935565716
