num_samples,num_sites,slice,tool,threads,user_time,sys_time,wall_time
10,116230,n10,bcftools,1,0.13,0.01,0.10558366775512695
10,116230,n/2,bcftools,1,0.11,0.01,0.09411430358886719
10,116230,n10,sgkit,1,6.61,0.19,6.71683931350708
10,116230,n/2,sgkit,1,6.24,0.31,6.451245546340942
100,204714,n10,bcftools,1,0.11,0.01,0.08767557144165039
100,204714,n/2,bcftools,1,0.2,0.02,0.14697933197021484
100,204714,n10,sgkit,1,6.48,0.36,6.754056453704834
100,204714,n/2,sgkit,1,6.09,0.29,6.29033088684082
1000,403989,n10,bcftools,1,0.15,0.01,0.09871220588684082
1000,403989,n/2,bcftools,1,1.21,0.04,0.7534537315368652
1000,403989,n10,sgkit,1,5.8,0.28,6.007151126861572
1000,403989,n/2,sgkit,1,5.75,0.26,5.934251070022583
10000,863998,n10,bcftools,1,0.59,0.04,0.4490773677825928
10000,863998,n/2,bcftools,1,12.14,0.42,6.774934530258179
10000,863998,n10,sgkit,1,5.56,0.2,5.703198194503784
10000,863998,n/2,sgkit,1,6.23,0.27,6.419579744338989
100000,2365367,n10,bcftools,1,4.57,0.18,4.091678619384766
100000,2365367,n/2,bcftools,1,100.85,3.47,62.29053592681885
100000,2365367,n10,sgkit,1,5.54,0.2,5.686472177505493
100000,2365367,n/2,sgkit,1,12.24,1.09,13.253303527832031
1000000,7254858,n10,bcftools,1,49.28,2.55,46.02617383003235
1000000,7254858,n10,sgkit,1,6.63,0.44,7.027350187301636
10,116230,n10,genozip,1,0.71,0.03,0.7459568977355957
10,116230,n/2,genozip,1,0.68,0.04,0.7260942459106445
100,204714,n10,genozip,1,3.04,0.03,3.090507984161377
100,204714,n/2,genozip,1,3.07,0.05,3.124236583709717
1000,403989,n10,genozip,1,14.34,0.06,14.40828537940979
1000,403989,n/2,genozip,1,15.01,0.18,15.117207288742065
10000,863998,n10,genozip,1,103.89,0.51,104.45311450958252
10000,863998,n/2,genozip,1,109.93,0.77,108.63516926765442
10,116230,n10,genozip,8,0.63,0.05,0.6795713901519775
10,116230,n/2,genozip,8,0.65,0.02,0.698239803314209
100,204714,n10,genozip,8,3.03,0.04,3.0870394706726074
100,204714,n/2,genozip,8,3.09,0.03,3.136664390563965
1000,403989,n10,genozip,8,14.32,0.08,14.428622961044312
1000,403989,n/2,genozip,8,14.99,0.12,15.039846181869507
10000,863998,n10,genozip,8,103.99,0.36,52.30231475830078
