num_samples,num_sites,tool,threads,user_time,sys_time,wall_time
10,116230,savvy,1,0.11,0.0,0.1472151279449463
10,116230,sgkit,1,6.7,0.3,6.900835990905762
100,204714,savvy,1,0.25,0.01,0.2876155376434326
100,204714,sgkit,1,7.55,0.48,7.896184921264648
1000,403989,savvy,1,1.31,0.02,1.364692211151123
1000,403989,sgkit,1,13.19,0.69,13.466672420501709
10000,863998,savvy,1,14.12,0.08,14.228865146636963
10000,863998,sgkit,1,113.01,10.76,119.05235552787781
100000,2365367,savvy,1,388.86,0.59,389.6784107685089
100000,2365367,sgkit,1,2545.2,658.47,3085.060316801071
1000000,7254858,savvy,1,8410.33,5.25,8418.529668569565
1000000,7254858,sgkit,1,76912.53,27060.23,99354.307908535
10,116230,savvy,8,0.2,0.01,0.06759929656982422
10,116230,sgkit,8,6.98,0.44,7.159195423126221
100,204714,savvy,8,0.39,0.01,0.09683585166931152
100,204714,sgkit,8,7.34,0.32,7.183086633682251
1000,403989,savvy,8,1.53,0.02,0.257854700088501
1000,403989,sgkit,8,12.52,0.76,8.086754322052002
10000,863998,savvy,8,17.67,0.07,2.3744232654571533
10000,863998,sgkit,8,104.67,11.8,23.001765489578247
100000,2365367,savvy,8,356.71,0.53,48.30210494995117
100000,2365367,sgkit,8,2568.8,357.14,408.2441155910492
1000000,7254858,savvy,8,14723.46,17.88,2126.698394536972
1000000,7254858,sgkit,8,74811.71,19191.88,13146.757795333862
10,116230,bcftools,1,0.08,0.01,0.10981178283691406
10,116230,genozip,1,0.74,0.02,0.6149568557739258
100,204714,bcftools,1,0.42,0.0,0.4426300525665283
100,204714,genozip,1,6.26,0.1,5.017681360244751
1000,403989,bcftools,1,5.01,0.02,5.066232919692993
1000,403989,genozip,1,93.73,1.36,74.90688610076904
10000,863998,bcftools,1,93.59,0.27,93.93752694129944
10000,863998,genozip,1,2017.71,34.23,1616.617880821228
100000,2365367,bcftools,1,2442.14,2.91,2446.412296295166
100000,2365367,genozip,1,55005.0,919.67,44662.65710091591
1000000,7254858,bcftools,1,73939.32,46.09,74023.08367824554 
10,116230,bcftools,8,0.09,0.0,0.11072897911071777
10,116230,genozip,8,0.74,0.03,0.4600706100463867
100,204714,bcftools,8,0.42,0.0,0.43875980377197266
100,204714,genozip,8,6.23,0.24,1.6169908046722412
1000,403989,bcftools,8,5.05,0.01,5.101521968841553
1000,403989,genozip,8,99.58,1.96,20.397233724594116
10000,863998,bcftools,8,94.83,0.22,95.12718224525452
10000,863998,genozip,8,2098.0,55.49,419.63620710372925
100000,2365367,bcftools,8,2465.59,2.43,2469.2108194828033
100000,2365367,genozip,8,56752.53,1162.99,11111.755272865295
1000000,7254858,bcftools,8,73589.0,62.0,73687.12459254265
